close,co_id,date,difference_percentage,high,low,open,total_trade_count,total_trade_dollar,total_trade_stocks
29.55,1101, 99/08/30,-0.15,30.15,29.3,30.1,"2,536","238,828,317","8,017,935"
29.45,1101, 99/08/31,-0.1,29.55,29.0,29.3,"3,095","267,794,817","9,146,064"
27.0,1101, 99/07/01,-0.30,27.2,26.9,27.2,"1,981","155,506,259","5,756,507"
27.4,1101, 99/07/02,+0.40,27.65,27.1,27.2,"2,038","178,041,114","6,501,446"
28.2,1101, 99/07/05,+0.80,28.3,27.25,27.6,"2,818","234,734,625","8,407,351"
29.0,1101, 99/07/06,+0.80,29.05,28.0,28.0,"4,648","530,082,106","18,487,221"
28.55,1101, 99/07/07,-0.45,29.0,28.5,29.0,"2,155","222,963,052","7,776,964"
28.55,1101, 99/07/08, 0.00,28.95,28.45,28.8,"2,133","215,246,992","7,518,118"
28.95,1101, 99/07/09,+0.40,29.0,28.55,28.55,"3,115","367,489,920","12,721,227"
29.05,1101, 99/07/12,+0.10,29.2,29.0,29.1,"3,519","325,663,158","11,184,768"
28.85,1101, 99/07/13,-0.20,29.15,28.85,29.05,"4,443","504,650,730","17,442,566"
27.75,1101, 99/07/14,X0.00,27.75,27.3,27.3,"5,547","717,782,225","26,138,257"
27.5,1101, 99/07/15,-0.25,27.75,27.5,27.75,"2,415","269,461,352","9,757,863"
27.25,1101, 99/07/16,-0.25,27.85,26.9,27.55,"4,817","676,436,938","24,687,191"
27.3,1101, 99/07/19,+0.05,27.3,26.75,27.0,"3,183","296,717,709","10,980,714"
27.5,1101, 99/07/20,+0.20,27.65,26.9,27.3,"2,541","239,697,602","8,749,544"
27.35,1101, 99/07/21,-0.15,27.65,27.2,27.6,"1,674","152,603,992","5,571,624"
28.1,1101, 99/07/22,+0.75,28.25,27.5,27.6,"5,332","559,444,795","20,024,275"
28.5,1101, 99/07/23,+0.40,28.7,28.1,28.35,"4,891","435,528,465","15,278,961"
28.75,1101, 99/07/26,+0.25,28.8,28.3,28.8,"2,735","309,753,972","10,817,949"
28.35,1101, 99/07/27,-0.40,28.8,28.35,28.65,"1,586","125,267,482","4,387,908"
28.65,1101, 99/07/28,+0.30,28.75,28.2,28.25,"2,909","322,735,424","11,294,210"
29.35,1101, 99/07/29,+0.70,29.5,28.5,28.8,"6,024","872,586,390","30,016,229"
29.8,1101, 99/07/30,+0.45,30.25,29.4,29.4,"8,624","1,222,968,126","40,835,800"
27.35,1101, 99/06/01,0.0,27.45,27.05,27.3,"1,951","202,865,239","7,443,634"
27.0,1101, 99/06/02,-0.35,27.35,26.85,27.15,"1,975","180,976,180","6,674,940"
27.25,1101, 99/06/03,0.25,27.4,27.15,27.4,"2,138","177,968,922","6,524,172"
27.05,1101, 99/06/04,-0.2,27.3,27.0,27.2,998,"96,920,868","3,570,478"
26.65,1101, 99/06/07,-0.4,26.85,26.2,26.2,"1,874","153,519,208","5,787,260"
26.85,1101, 99/06/08,0.2,27.0,26.5,26.5,"1,060","83,644,934","3,119,275"
